hospitalName,evaluation,address
(사)대한결핵협회부산광역시지부 복십자의원,1등급,부산광역시 남구 수영로 299 (대연동)
(사)대한신장복지회 대신의원,5등급,"충청북도 청주시 서원구 사직대로 252 지하1층,지상1,2층 (사직동)"
(사)모퉁이복지재단 인천재활의원,1등급,인천광역시 미추홀구 인주대로 290 (주안동)
(사)인구보건복지협회 서울지회 가족보건의원,1등급,서울특별시 광진구 긴고랑로13길 62 1.2층 (중곡동)
(사)인구보건복지협회 충북세종지회 가족보건의원,1등급,충청북도 청주시 흥덕구 내수동로 20 (복대동)
(사)인구보건복지협회경기도지회가족보건의원,1등급,경기도 수원시 팔달구 고화로14번길 11 (매산로3가)
(사)인구보건복지협회전북지회가족보건의원,1등급,전라북도 전주시 덕진구 백제대로 720 (인후동2가)
(사단법인)한국건강관리협회건강증진의원,3등급,광주광역시 서구 대남대로 432 한국건강관리협회 지하2~지상7층 (농성동)
(신)제일병원,3등급,충청남도 보령시 대해로 52 (궁촌동)
(의) 내경의료재단 울산제일병원,3등급,울산광역시 남구 남산로354번길 26 (신정동)
(의) 상원의료재단 인천힘찬병원,1등급,인천광역시 연수구 용담로 118 (연수동)
(의) 열린의료재단  인하의원,4등급,"경기도 성남시 수정구 수정로 210 (신흥동, 제중빌딩)"
(의) 열린의료재단 강동열린의원,1등급,"서울특별시 강동구 천호대로 1092 1층 112호,113호 (성내동, SK허브진)"
(의) 열린의료재단 대구열린의원,2등급,"대구광역시 중구 중앙대로 359 반월당메티칼오피스타워 5,6층 (남산동)"
(의) 열린의료재단 상봉열린의원,2등급,"서울특별시 중랑구 면목로 492 4층 (상봉동, 주연빌딩)"
(의) 열린의료재단 안산열린의원,1등급,"경기도 안산시 상록구 용신로 388 (본오동, 유니온프라자 501~505호)"
(의) 열린의료재단 연산열린의원,1등급,"부산광역시 연제구 중앙대로 1091 7층 (연산동, 제세빌딩)"
(의) 열린의료재단 영등포열린의원,1등급,"서울특별시 영등포구 경인로 841 영등포우체국 4,5층 (영등포동4가)"
(의) 열린의료재단 정다운의원,1등급,전라남도 순천시 풍덕주택길 14 (풍덕동)
(의) 열린의료재단 혜인의원,1등급,"서울특별시 서초구 서초중앙로 118 8층 (서초동, 카이스시스템빌딩)"
(의) 열린의료재단 혜화열린의원,2등급,서울특별시 성북구 동소문로 125 5~6층 (동선동4가)
