hospitalName,telNum,hospitalType,numDoc,numRoom,numBed,medicalCourse,address
서울적십자병원,02-2002-8000,종합병원,223,62,292,구강내과/ 치과보존과/ 치주과/ 치과보철과/ 구강악안면외과/ 응급의학과/ 가정의학과/ 재활의학과/ 진단검사의학과/ 병리과/ 영상의학과/ 비뇨의학과/ 피부과/ 이비인후과/ 안과/ 소아청소년과/ 산부인과/ 마취통증의학과/ 신경외과/ 정형외과/ 외과/ 정신건강의학과/ 신경과/ 내과,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)"
강북삼성병원,02-2001-2001,종합병원,946,171,689,내과/ 신경과/ 정신건강의학과/ 외과/ 정형외과/ 신경외과/ 흉부외과/ 성형외과/ 마취통증의학과/ 산부인과/ 소아청소년과/ 안과/ 이비인후과/ 피부과/ 비뇨의학과/ 영상의학과/ 방사선종양학과/ 병리과/ 진단검사의학과/ 재활의학과/ 가정의학과/ 핵의학과/ 직업환경의학과/ 응급의학과/ 구강악안면외과/ 치과보철과/ 치과교정과/ 치주과/ 치과보존과,서울특별시 종로구 새문안로 29 (평동)
서울대학교치과병원,02-2072-2655,치과병원,250,15,40,구강병리과/ 영상치의학과/ 구강내과/ 치과보존과/ 치주과/ 소아치과/ 치과교정과/ 치과보철과/ 구강악안면외과/ 마취통증의학과,서울특별시 종로구 대학로 101 (연건동)
세란병원,02-737-0181,종합병원,166,68,213,내과/ 신경과/ 외과/ 정형외과/ 신경외과/ 마취통증의학과/ 산부인과/ 소아청소년과/ 비뇨의학과/ 영상의학과/ 진단검사의학과/ 가정의학과/ 응급의학과/ 치과,서울특별시 종로구 통일로 256 (무악동)
서울대학교병원,1588-5700,종합병원,3708,562,1761,병리과/ 가정의학과/ 진단검사의학과/ 방사선종양학과/ 재활의학과/ 마취통증의학과/ 치과/ 응급의학과/ 영상의학과/ 핵의학과/ 신경과/ 정신건강의학과/ 이비인후과/ 피부과/ 소아청소년과/ 산부인과/ 안과/ 비뇨의학과/ 성형외과/ 정형외과/ 신경외과/ 흉부외과/ 외과/ 내과,서울특별시 종로구 대학로 101 (연건동)
서울숭인병원,02-737-7582,병원,18,29,108,내과/ 신경과/ 소아청소년과/ 재활의학과/ 가정의학과,"서울특별시 종로구 종로 386, 6.7.8.9층 (숭인동)"
서울지구병원,02-397-3973,병원,49,11,30,내과/ 신경과/ 외과/ 정형외과/ 신경외과/ 마취통증의학과/ 산부인과/ 소아청소년과/ 안과/ 이비인후과/ 피부과/ 비뇨의학과/ 영상의학과/ 병리과/ 진단검사의학과/ 가정의학과/ 응급의학과/ 치과,서울특별시 종로구 삼청로10길 13 (삼청동)
로이병원,1644-7541,병원,18,30,127,내과/ 신경과/ 소아청소년과/ 피부과/ 영상의학과/ 진단검사의학과/ 재활의학과/ 가정의학과,"서울특별시 종로구 평창문화로 75, 글로리아타운 2,3,5층 (평창동)"
서울송도병원,02-2231-0900,병원,129,45,152,치주과/ 침구과/ 가정의학과/ 진단검사의학과/ 병리과/ 영상의학과/ 비뇨의학과/ 안과/ 산부인과/ 마취통증의학과/ 정형외과/ 외과/ 정신건강의학과/ 내과,"서울특별시 중구 다산로 78 (신당동, 송도병원)"
인제대학교 서울백병원,02-2270-0114,종합병원,377,62,227,구강악안면외과/ 치과/ 응급의학과/ 가정의학과/ 진단검사의학과/ 병리과/ 방사선종양학과/ 영상의학과/ 비뇨의학과/ 피부과/ 이비인후과/ 안과/ 소아청소년과/ 산부인과/ 마취통증의학과/ 성형외과/ 흉부외과/ 신경외과/ 정형외과/ 외과/ 정신건강의학과/ 신경과/ 내과,서울특별시 중구 마른내로 9 (저동2가)
국립중앙의료원,2260-7114,종합병원,581,121,485,치과/ 침구과/ 한방신경정신과/ 한방내과/ 응급의학과/ 핵의학과/ 가정의학과/ 결핵과/ 재활의학과/ 진단검사의학과/ 병리과/ 방사선종양학과/ 영상의학과/ 비뇨의학과/ 피부과/ 이비인후과/ 안과/ 소아청소년과/ 산부인과/ 마취통증의학과/ 성형외과/ 흉부외과/ 신경외과/ 정형외과/ 외과/ 정신건강의학과/ 신경과/ 내과,서울특별시 중구 을지로 245 (을지로6가)
연세스위트치과병원,02-733-2875,치과병원,2,0,0,치주과/ 치과교정과/ 치과보철과,"서울특별시 중구 퇴계로 447, 211~213호 (황학동, 황학아크로타워)"
라임나무치과병원,02-754-2879,치과병원,4,0,0,치과보존과/ 치주과/ 치과교정과/ 치과보철과,"서울특별시 중구 명동길 43, 7층 (명동1가, 신한은행)"
유치과병원,2233-3923,치과병원,3,0,0,치주과/ 소아치과/ 치과교정과/ 치과보철과/ 구강악안면외과,"서울특별시 중구 다산로 175, 3층 (신당동, 명덕빌딩)"
더블유치과병원,-3393-1122,치과병원,2,0,0,통합치의학과/ 구강내과/ 치과보존과/ 치주과/ 소아치과/ 치과교정과/ 치과보철과,"서울특별시 중구 장충단로 263, 14층 (을지로6가, 밀리오레상가건물)"
반도정형외과병원,2252-0202,병원,21,17,30,소아청소년과/ 피부과/ 영상의학과/ 내과/ 진단검사의학과/ 재활의학과/ 신경외과/ 정형외과,서울특별시 중구 동호로 202 (신당동)
참바로병원,02-2234-8585,병원,23,11,57,내과/ 외과/ 정형외과/ 신경외과/ 마취통증의학과/ 영상의학과/ 재활의학과,"서울특별시 중구 다산로 258, 2,3층 (흥인동, 리마크빌)"
광화문자생한방병원,02-2165-0965,한방병원,21,10,50,내과/ 영상의학과/ 한방내과/ 한방부인과/ 한방소아과/ 한방안·이비인후·피부과/ 한방신경정신과/ 한방재활의학과/ 사상체질과/ 침구과,"서울특별시 중구 통일로 92, 케이지타워 1,2,8층 (순화동)"
한누리치과병원,753-1922,치과병원,3,0,0,치과보철과/ 치과교정과/ 소아치과/ 치주과/ 치과보존과,"서울특별시 중구 퇴계로 97, 3층 306호 (충무로1가, 고려대연각센터빌딩)"
을지치과병원,02-970-8403,치과병원,1,0,0,치과보철과/ 소아치과/ 치과보존과,서울특별시 중구 을지로14길 12 (을지로3가)
의료법인 제일의료재단 제일병원,02-2000-7114,병원,571,64,203,내과/ 신경과/ 외과/ 정형외과/ 마취통증의학과/ 산부인과/ 소아청소년과/ 안과/ 영상의학과/ 방사선종양학과/ 병리과/ 진단검사의학과/ 핵의학과,서울특별시 중구 서애로1길 17 (묵정동)
금강아산병원(재단법인 아산사회복지재단),799-5000,병원,60,26,80,외과/ 가정의학과/ 재활의학과/ 마취통증의학과/ 진단검사의학과/ 영상의학과/ 산부인과/ 정형외과/ 내과,서울특별시 용산구 이촌로 318 (이촌동)
소화병원(의료법인 소화병원),705-9000,병원,23,14,32,내과/ 정형외과/ 소아청소년과/ 영상의학과/ 진단검사의학과,"서울특별시 용산구 청파로 383 (서계동, 소화아동병원)"
순천향대학교 부속 서울병원,709-9114,종합병원,917,175,725,내과/ 신경과/ 정신건강의학과/ 외과/ 정형외과/ 신경외과/ 흉부외과/ 성형외과/ 마취통증의학과/ 산부인과/ 소아청소년과/ 안과/ 이비인후과/ 피부과/ 비뇨의학과/ 영상의학과/ 방사선종양학과/ 병리과/ 진단검사의학과/ 재활의학과/ 가정의학과/ 직업환경의학과/ 응급의학과/ 예방의학과/ 구강악안면외과/ 치과보철과/ 치과교정과/ 소아치과/ 치주과/ 치과보존과/ 구강내과/ 영상치의학과/ 구강병리과/ 예방치과,서울특별시 용산구 대사관로 59 (한남동)
연세슬기병원,02-2281-0010,병원,13,24,61,내과/ 외과/ 정형외과/ 신경외과/ 성형외과/ 소아청소년과/ 피부과/ 비뇨의학과/ 진단검사의학과/ 재활의학과,서울특별시 성동구 무학로2길 8 (도선동)
학교법인대진교육재단 제인병원,02-3408-2100,병원,20,22,99,구강내과/ 한방소아과/ 한방내과/ 정형외과/ 내과/ 영상의학과/ 재활의학과,서울특별시 성동구 광나루로 243 (송정동)
서울연세병원,02-2293-7582,병원,12,11,30,성형외과/ 정형외과/ 외과,서울특별시 성동구 왕십리로 296 (행당동)
굿모닝요양병원,02-3394-9878,요양병원(일반요양병원),11,33,195,내과/ 신경과/ 외과/ 정형외과/ 신경외과/ 흉부외과/ 이비인후과/ 피부과/ 비뇨의학과/ 영상의학과/ 가정의학과/ 한방내과/ 한방부인과/ 한방소아과/ 한방안·이비인후·피부과/ 한방신경정신과/ 한방재활의학과/ 사상체질과/ 침구과,"서울특별시 성동구 천호대로 436, 2~7층 (용답동)"
서울동인병원,02-2281-6636,병원,12,28,133,내과/ 외과/ 정형외과/ 신경외과/ 흉부외과/ 이비인후과/ 피부과/ 비뇨의학과/ 영상의학과/ 재활의학과/ 가정의학과/ 응급의학과,서울특별시 성동구 왕십리로 382 (하왕십리동)
시온요양병원,02-2247-7272,요양병원(일반요양병원),30,26,160,내과/ 신경과/ 정형외과/ 신경외과/ 영상의학과/ 재활의학과/ 한방내과/ 한방부인과/ 한방안·이비인후·피부과/ 한방재활의학과/ 침구과,"서울특별시 성동구 자동차시장1길 85, 지하1,지상3~5층 (용답동, JS빌딩)"
서울효사랑요양병원,02-462-0114,요양병원(일반요양병원),34,25,159,침구과/ 한방내과/ 정형외과/ 재활의학과/ 가정의학과/ 마취통증의학과/ 신경과/ 내과,서울특별시 성동구 동일로 93 (성수동2가)
서울특별시장애인치과병원,02-2282-0001,치과병원,11,0,0,마취통증의학과/ 치과,서울특별시 성동구 마장로 207 (홍익동)
9988병원,02-2297-9988,병원,14,12,42,내과/ 정형외과/ 신경외과/ 마취통증의학과/ 영상의학과/ 진단검사의학과,서울특별시 성동구 왕십리로 269 (행당동)
한양대학교병원,02-2290-8114,종합병원,1045,246,855,내과/ 신경과/ 정신건강의학과/ 외과/ 정형외과/ 신경외과/ 흉부외과/ 성형외과/ 마취통증의학과/ 산부인과/ 소아청소년과/ 안과/ 이비인후과/ 피부과/ 비뇨의학과/ 영상의학과/ 방사선종양학과/ 병리과/ 진단검사의학과/ 재활의학과/ 결핵과/ 가정의학과/ 핵의학과/ 직업환경의학과/ 응급의학과/ 구강악안면외과/ 치과보철과/ 치과교정과/ 치주과/ 치과보존과,서울특별시 성동구 왕십리로 222-1 (사근동)
연세무척나은병원,3425-8200,병원,28,9,41,진단검사의학과/ 영상의학과/ 신경외과/ 재활의학과/ 마취통증의학과/ 내과/ 정형외과,서울특별시 광진구 천호대로 568 (능동)
에스(S)리더치과병원,02-466-7528,치과병원,7,0,0,치과,"서울특별시 광진구 능동로 103, 3.4층 (화양동)"
제니스병원,02-3436-8888,병원,18,25,96,내과/ 신경과/ 마취통증의학과/ 재활의학과/ 가정의학과,서울특별시 광진구 자양로 215 (구의동)
리안요양병원,02-466-5151,요양병원(일반요양병원),12,16,81,신경과/ 내과/ 재활의학과/ 정형외과,서울특별시 광진구 동일로 82-1 (자양동)
광진예치과병원,02-452-7272,치과병원,4,0,0,치과,서울특별시 광진구 천호대로 556 (능동)
혜민병원,02-2049-9036,종합병원,162,67,257,내과/ 신경과/ 외과/ 정형외과/ 신경외과/ 흉부외과/ 성형외과/ 마취통증의학과/ 산부인과/ 이비인후과/ 영상의학과/ 진단검사의학과/ 가정의학과/ 응급의학과,서울특별시 광진구 자양로 85 (자양동)
건국대학교병원,1588-1533,종합병원,1244,243,847,내과/ 신경과/ 정신건강의학과/ 외과/ 정형외과/ 신경외과/ 흉부외과/ 성형외과/ 마취통증의학과/ 산부인과/ 소아청소년과/ 안과/ 이비인후과/ 피부과/ 비뇨의학과/ 영상의학과/ 방사선종양학과/ 병리과/ 진단검사의학과/ 재활의학과/ 가정의학과/ 핵의학과/ 응급의학과/ 구강악안면외과/ 치과보철과/ 치과교정과,서울특별시 광진구 능동로 120-1 (화양동)
국립정신건강센터,02-2204-0114,병원,162,67,200,내과/ 신경과/ 정신건강의학과/ 마취통증의학과/ 소아청소년과/ 영상의학과/ 진단검사의학과/ 가정의학과/ 치과,"서울특별시 광진구 용마산로 127 (중곡동, 국립정신건강센터)"
동부참사랑요양병원,02-461-6602,요양병원(일반요양병원),6,42,147,내과/ 신경과/ 외과/ 정형외과/ 신경외과/ 재활의학과/ 가정의학과/ 한방내과/ 한방부인과/ 한방재활의학과/ 침구과,서울특별시 광진구 동일로 154 (화양동)
서울프라임병원,02-464-2700,병원,12,20,59,내과/ 정형외과/ 신경외과/ 소아청소년과/ 영상의학과/ 가정의학과,"서울특별시 광진구 동일로 92-1, B1~2, 3~7층 (자양동)"
편안한요양병원,02-456-8898,요양병원(일반요양병원),5,68,348,내과/ 신경과/ 외과/ 정형외과/ 신경외과/ 흉부외과/ 비뇨의학과/ 재활의학과/ 가정의학과/ 한방내과/ 한방재활의학과/ 침구과,"서울특별시 광진구 자양로 38, 편안한요양병원  지1,1,2,3,6층 (자양동)"
